hash,block,from,to,amt,asset,current_price,market_value,link
0x63b15f9ae4e33f4df502db207a62fafe3dde2b3cff560fe14040598db76f931b,7435051,0xc163a86f2f095150562c1c4cf48c55ad085aeb6b,0xfab146cfcd8f1b6f5de30ab14791492ad1f6e433,1.00,ETH,140,140.00,https://etherscan.io/tx/0x63b15f9ae4e33f4df502db207a62fafe3dde2b3cff560fe14040598db76f931b
0x0598b0197d82edbb818050f448bfd57342d836d6f608f9460b116cf49a257d83,7435055,0xfab146cfcd8f1b6f5de30ab14791492ad1f6e433,0x986ccf5234d9cfbb25246f1a5bfa51f4ccfcb308,1.00,ETH,140,139.97,https://etherscan.io/tx/0x0598b0197d82edbb818050f448bfd57342d836d6f608f9460b116cf49a257d83
0x25b17ec7e8eff42387698f67d7a9482ab175b416cc6ea999041f8b652cd1579c,7439570,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xa1bf1ed1e8de34477fb3dce27c2ea2ea4163acba,"16,730.09",ETH,140,"2,342,212.89",https://etherscan.io/tx/0x25b17ec7e8eff42387698f67d7a9482ab175b416cc6ea999041f8b652cd1579c
0x8d9f0c7d8fe12ccc519ca79d214088396e8f4361ccebdb0dd12138310c48c5ff,7439577,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xa1bf1ed1e8de34477fb3dce27c2ea2ea4163acba,"669,874,712.47",Maximine,0.1056,"70,738,769.64",https://etherscan.io/tx/0x8d9f0c7d8fe12ccc519ca79d214088396e8f4361ccebdb0dd12138310c48c5ff
0x4c5bd9474c3d3760922d2cee5199af95a4b0dd587b2f3379a6068629f8fd742e,7439581,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xa1bf1ed1e8de34477fb3dce27c2ea2ea4163acba,"364,526,151.26",CoinBene Coin,0.0391,"14,252,972.51",https://etherscan.io/tx/0x4c5bd9474c3d3760922d2cee5199af95a4b0dd587b2f3379a6068629f8fd742e
0x3ca8dbbb2edf9b6f4610895df0ec1a8721b6cd381870905f66539f9cc30ca2a5,7439595,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"74,254,508.94",Guaranteed Ethurance Token Extra,0.0639,"4,744,863.12",https://etherscan.io/tx/0x3ca8dbbb2edf9b6f4610895df0ec1a8721b6cd381870905f66539f9cc30ca2a5
0x223bd1b7a3537f386abbb6174e7b68e70d77dd18900642bdbfb2a4bd74929916,7439609,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,594,725,737.26",EBCoin,0.001,"1,594,725.74",https://etherscan.io/tx/0x223bd1b7a3537f386abbb6174e7b68e70d77dd18900642bdbfb2a4bd74929916
0x22a53731760dd0149fceda29042177c3e2c26464f918fb28a58b4013df375d71,7439612,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"29,878,831.77",Fountain 2,0.0398,"1,189,177.50",https://etherscan.io/tx/0x22a53731760dd0149fceda29042177c3e2c26464f918fb28a58b4013df375d71
0x74470886fac677e1dad9a24e1d0472a6fbf89320f42bbc1af00fa88a058dc6fd,7439615,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,123,498.90",HuobiPool,2.3974,"2,693,476.26",https://etherscan.io/tx/0x74470886fac677e1dad9a24e1d0472a6fbf89320f42bbc1af00fa88a058dc6fd
0xd01d6df2aa4c158b1723dc06e7169aaff818b35af8655a8df9b8c7ff41cee183,7439626,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,1.00,ETH,140,140.00,https://etherscan.io/tx/0xd01d6df2aa4c158b1723dc06e7169aaff818b35af8655a8df9b8c7ff41cee183
0x34187bf981c27b8972daa59d79380ccc49428f18d273055d900593affc369a93,7439640,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"98,112,427.63",The Midas Touch Gold,0.0045,"441,505.92",https://etherscan.io/tx/0x34187bf981c27b8972daa59d79380ccc49428f18d273055d900593affc369a93
0x72eb7fd01b3068bb88fb983062310aa8e81dc083efdb3ff242e2cf3fe02d4c67,7439644,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"29,798,809.97",Insureum,0.0111,"330,766.79",https://etherscan.io/tx/0x72eb7fd01b3068bb88fb983062310aa8e81dc083efdb3ff242e2cf3fe02d4c67
0xef4e70382ba08e833bc9a5100ef5ae71ffef4f341e873520baa9430843669af5,7439658,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"582,325,851.92",BaaSid,0.0012,"698,791.02",https://etherscan.io/tx/0xef4e70382ba08e833bc9a5100ef5ae71ffef4f341e873520baa9430843669af5
0x1db5071b44e0d14388955ad5405620de1b7286835884dd709729af989d24d38e,7439664,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"465,522,339.27",Volt,0.0008,"372,417.87",https://etherscan.io/tx/0x1db5071b44e0d14388955ad5405620de1b7286835884dd709729af989d24d38e
